Wallet,Telegram ID,SUM of USDT Allocation before Fees,SUM of USDT Allocation After fees,SUM of Deal Level Profit before fees,SUM of Deal Level profit after fees,Refund Already Done,Balance to be Paid,Next Tranche to be paid,,Don't Touch Column G
0x16bb857d8b69a1f349d695b2a9cc47e7a2908dc2,DiepLienTu123,"110,000","99,000","-78,590.00","-67,590.00",,"-67,590.00","-6,759.00",,
0xc631f43102401a24e336db30fb7be3a67c1ce000,LwLC1,"441,200","397,080","-106,432.40","-62,312.40",,"-62,312.40","-6,231.24",,
0xec7230815d35f385bbad5ea7c5a93c11067d8377,harsh3006840,"147,200","132,480","-74,093.22","-59,373.22",,"-59,373.22","-5,937.32",,
0x017d21a65a6f3f73f9646d2693bdf225c7e721a3,Cryptoroveryt,"88,000","79,200","-66,706.00","-57,906.00",,"-57,906.00","-5,790.60",,
0xf7ef4a3ab05d61317d2b37006c54229c8deb6b77,Sensei,"77,500","75,500","-59,500.00","-57,500.00",,"-57,500.00","-5,750.00",,
0x3dfe840869f6a11acc4c8c59a827671320549532,prestito44,"120,000","108,400","-67,980.00","-56,380.00",,"-56,380.00","-5,638.00",,
Hrithik,Hrithik,"175,000","166,250","-64,135.00","-55,385.00",,"-55,385.00","-5,538.50",,
Sjuul,Sjuul,"200,000","181,000","-73,525.00","-54,525.00",,"-54,525.00","-5,452.50",,
0x0b614445175c9df8fcd4deb2ae687edc3a703d80,catenavc,"65,000","58,500","-58,700.00","-52,200.00",,"-52,200.00","-5,220.00",,
0x7b8ee2338e834f007b9e8535a892eee0bc8014b8,Semagterberg,"66,800","60,120","-58,383.20","-51,703.20",,"-51,703.20","-5,170.32",,
0x79ed184b6f81e78d124175a8f0a029e2cd5a7b6d,metaverglas,"85,400","76,860","-59,804.00","-51,264.00",,"-51,264.00","-5,126.40",,
0xde825324625f395ce106dde4598072005b7ebe42,Rakib320,"111,200","102,252","-59,555.42","-50,607.42",,"-50,607.42","-5,060.74",,
0x589515c63e67648a5f37be876223ebadc638f7b7,CyptoNewbiie,"90,900","81,810","-57,927.60","-48,837.60",,"-48,837.60","-4,883.76",,
Sumit Kapoor,Sumit Kapoor,"647,370","625,000","-70,869.70","-48,500.00",,"-48,500.00","-4,850.00",,
0xb653894c8056c490dd9420be56169871711dbc49,Kyplo,"274,900","247,410","-74,593.30","-47,103.30",,"-47,103.30","-4,710.33",,
0x19efee7a42975db011beed419160121b18efbbc8,mistercryptotg,"67,500","60,750","-53,361.00","-46,611.00",,"-46,611.00","-4,661.10",,
0xe4ea89391408223a549ac4b02b79b7140a5c9c6b,tjnam0,"125,900","113,310","-58,040.90","-45,450.90",,"-45,450.90","-4,545.09",,
0xaaab28818f71c96e13518025cc063a1ca6f4fd58,alex_ccm,"181,700","164,530","-58,238.18","-41,068.18",,"-41,068.18","-4,106.82",,
Fepercigo,Fepercigo,"707,262","660,462","-85,914.29","-39,114.29",,"-39,114.29","-3,911.43",,
0xda6056602a2a4be2f6c2bd949061b4567a973de0,WCTNoah,"64,300","57,870","-45,254.20","-38,824.20",,"-38,824.20","-3,882.42",,
0x1d15068da17aa8a683bd01e94ac5868ae7b71ded,Wagmi1231,"50,000","45,000","-43,700.00","-38,700.00",,"-38,700.00","-3,870.00",,
0x8fb67ae2530243807209c46003191cbec29e729f,AdamDotEth,"335,700","302,130","-70,692.30","-37,122.30",,"-37,122.30","-3,712.23",,
0xab6f0b2b15690feea6b49413bd947d98d90cc88c,tycho14,"92,900","83,610","-44,471.00","-35,181.00",,"-35,181.00","-3,518.10",,
0x68b71c41b0a7dedc6d66540d5a61c00fae033d4c,mentorjymmy,"80,250","73,600","-40,402.50","-33,752.50",,"-33,752.50","-3,375.25",,
0x310ba68f32121479cb28c9656ba24e4664be954f,XenoCap,"46,000","41,400","-38,161.00","-33,561.00",,"-33,561.00","-3,356.10",,
0xfb841c31efbd1bff1945870b4fac6926a881c908,jassdream2,"74,000","66,600","-40,197.80","-32,797.80",,"-32,797.80","-3,279.78",,
0x9852e2482a532cd581fa4276ccdd725706e9aa57,official_jai96,"110,032","103,329","-37,959.93","-32,146.79",,"-32,146.79","-3,214.68",,
0x1e6cbf02ad6a344cb0b2a648945cbb8628fd2d31,nodevestor,"84,000","78,120","-37,909.20","-32,029.20",,"-32,029.20","-3,202.92",,
0xc5c6eb08ad5360fb028ed42e384bd7628d364c5d,Simon_925,"88,300","79,470","-39,596.50","-30,766.50",,"-30,766.50","-3,076.65",,
Crypto Panda,Crypto Panda,"50,000","45,000","-35,600.00","-30,600.00",,"-30,600.00","-3,060.00",,
0x83b18f8bd14b9b8ceb9f39baff2e807feb46909e,USUNG,"599,900","539,910","-89,701.70","-29,711.70",,"-29,711.70","-2,971.17",,
0xc9e82b672ae0a5555f2ed2c71e17645f04d65286,govindkamani007,"68,800","61,920","-36,335.20","-29,455.20",,"-29,455.20","-2,945.52",,
0x72f46b782f76ea0b063f120eebece9662903b1ba,tristan_vb,"79,500","72,435","-36,141.30","-29,076.30",,"-29,076.30","-2,907.63",,
0x6a347c4e16c945036bc0b1c3e1e97e2a2d6f506c,Qwerty_Ed,"46,675","43,575","-31,501.00","-28,401.00",,"-28,401.00","-2,840.10",,
0x779146d6ffa73a485906ca146ab9595537192df6,kor_manager,"40,000","36,000","-32,260.00","-28,260.00",,"-28,260.00","-2,826.00",,
0x11e465c310970d535bf61dd57095519ad38877ef,geniejinjin,"48,500","43,650","-32,984.00","-28,134.00",,"-28,134.00","-2,813.40",,
0x40cb1444968244d11c6a67bdb90cd62656f27ce0,iamnion,"73,000","65,700","-35,128.90","-27,828.90",,"-27,828.90","-2,782.89",,
0x25b4de9bd70d61c8d34486084e9623e06933f307,ThoaLt3009,"41,700","37,530","-30,907.20","-26,737.20",,"-26,737.20","-2,673.72",,
0xd829244e6827a2b5a7bacce2ad75f6ee76d33195,trader1pa,"41,000","36,900","-30,668.00","-26,568.00",,"-26,568.00","-2,656.80",,
0xfd6d3dac0e787a8ab01f5ab5f4a1c877790f27af,bosslmp75,"63,500","57,850","-31,010.00","-25,360.00",,"-25,360.00","-2,536.00",,
0xdf20e98c700c6142da2198fa9a347abe3791e2dc,xAtomsk,"258,400","232,560","-51,090.40","-25,250.40",,"-25,250.40","-2,525.04",,
PRTN @Mick_on_tech,PRTN Mick_on_tech,"40,000","37,000","-28,160.00","-25,160.00",,"-25,160.00","-2,516.00",,
0xf5dc13d635df266a24f4605bd31c1062bef383a5,bitexpert007,"57,800","52,020","-30,706.40","-24,926.40",,"-24,926.40","-2,492.64",,
0xb27db72622e9031574e9558cc2354bc508819051,kirangadakh_official,"34,500","31,740","-26,836.40","-24,076.40",,"-24,076.40","-2,407.64",,
0xe54261e2277ae9fe8e21c14e87152a33e496b88a,msdaan,"33,000","29,800","-26,880.00","-23,680.00",,"-23,680.00","-2,368.00",,
0xe819a4251b477f20156893c3a77dd8681a0c1f83,ac11k,"153,000","137,700","-38,916.00","-23,616.00",,"-23,616.00","-2,361.60",,
0xa98694257e305d291e2d4fa5f00aa71701ce0cae,Dutchie,"45,000","40,500","-27,990.00","-23,490.00",,"-23,490.00","-2,349.00",,
0x08ecdc088971f8e14b17991e0b8bc5f0bf67f7e1,Furkancelik003,"52,000","46,800","-27,900.70","-22,700.70",,"-22,700.70","-2,270.07",,
0xd724a8676f84df800640b7e712c96072b60cb9d5,McMadness,"90,350","81,590","-31,383.80","-22,623.80",,"-22,623.80","-2,262.38",,
0x2370CeF104632EDf6eF7DE15b32B74F74de0Ae45,Strongviking66,"98,000","88,200","-32,225.48","-22,425.48",,"-22,425.48","-2,242.55",,
0xf95ceb1dbeb00cd0c0d3ab6a1a4bd893019e4665,mrezmo,"57,400","51,660","-27,955.60","-22,215.60",,"-22,215.60","-2,221.56",,
0xbd9baf9175e2cc802c79c969605ad0c681dca310,profesore_eth,"193,000","173,700","-41,377.00","-22,077.00",,"-22,077.00","-2,207.70",,
0x66a927db4e8968381c1640f952a09994ed451747,Rocker4you,"58,600","52,740","-27,483.40","-21,623.40",,"-21,623.40","-2,162.34",,
Daku,Daku,"419,500","398,525","-43,699.50","-21,622.00",,"-21,622.00","-2,162.20",,
0x781fcc82750fa2338eade937cc6c885fa31ce247,khayal_all,"44,600","40,140","-26,067.20","-21,607.20",,"-21,607.20","-2,160.72",,
0xbc41f7fdc1d13ad936d3b3f7032ebdad002f1390,jadeja_sandeep,"58,000","52,200","-27,202.00","-21,402.00",,"-21,402.00","-2,140.20",,
0x77d3c62c5ebb36366ed3d695ae4138609978cdd8,Cryptoenthu1,"73,929","67,956","-27,353.82","-21,380.77",,"-21,380.77","-2,138.08",,
0x2d23c552134b8e270ac73bd41a594c91cfeea83b,Darksur_NFT,"81,800","73,620","-29,360.60","-21,180.60",,"-21,180.60","-2,118.06",,
0x84a1ac705b15b5c918882bdf52e93decbd82e9e8,Dusk_til_Dawn,"22,887","22,197","-21,790.35","-21,100.35",,"-21,100.35","-2,110.04",,
0xd063afbb4f7224563ec26240470cc41370d8057a,uncooLed,"31,800","28,620","-24,115.80","-20,935.80",,"-20,935.80","-2,093.58",,
0xf8de43e94763b740a1afa00775a4b309ca21d677,TheFVK,"51,000","45,900","-25,458.00","-20,358.00",,"-20,358.00","-2,035.80",,
0x36efaad9e2e933f46e37dd1150f046ec94fc4ef8,titedios,"40,000","36,000","-24,295.00","-20,295.00",,"-20,295.00","-2,029.50",,
0xf6f4281c3881da8a4b254d26f0e62954491d59e7,RS6699,"151,319","136,689","-34,546.70","-19,916.70",,"-19,916.70","-1,991.67",,
0x008e572bb71671f2f053072daec5fde3f12e6dcd,konstantin_cls,"35,000","31,500","-23,030.00","-19,530.00",,"-19,530.00","-1,953.00",,
Covey,Covey,"121,668","110,000","-30,868.00","-19,200.00",,"-19,200.00","-1,920.00",,
0xcd2b55688c038b79d6f041c63017fb992fbdc3ba,roiril,"63,300","56,970","-24,132.90","-17,802.90",,"-17,802.90","-1,780.29",,
0x07a280e8a764b0cb493c7c5652db248c828d2487,rraturi,"56,000","50,400","-23,213.00","-17,613.00",,"-17,613.00","-1,761.30",,
0x01673972a21fd1d0beddfbb6c2108805193491c8,brzsh,"76,000","68,400","-24,886.48","-17,286.48",,"-17,286.48","-1,728.65",,
0x977e6e931fb8a1f5b1349040c0b8631b795a4d93,Nicodemus22,"23,550","22,500","-18,112.38","-17,062.38",,"-17,062.38","-1,706.24",,
0xe0dfebf158aa13ccd95b13dc8cb2cc53af3c118a,sunnyburnwal,"25,000","22,500","-19,240.00","-16,740.00",,"-16,740.00","-1,674.00",,
Hanifa naana,Hanifa naana,"42,175","37,958","-20,052.74","-15,835.23","15,835",-0.23,0.00,,
0xf69c4bd64799e7e21829f15be99adee089a8d1c9,982174668,"42,000","37,800","-19,698.00","-15,498.00",,"-15,498.00","-1,549.80",,
0x488ad986f2f0eb1f75e8c96bcc55788e21b26a66,Merlijnthetrader,"20,000","18,000","-17,480.00","-15,480.00",,"-15,480.00","-1,548.00",,
0xf63c14de4c7fbb3a958282d2824b22ade9903718,cryptomaddy0,"37,500","33,750","-19,107.24","-15,357.24",,"-15,357.24","-1,535.72",,
0xfbf22faf90012e6edb0815ecb8673af4ab9b27cf,easymanuk,"64,200","57,780","-20,611.20","-14,191.20",,"-14,191.20","-1,419.12",,
0xa13ce38a8385b44b1686886481eb6fa65026551f,kanato,"45,000","40,500","-18,526.50","-14,026.50",,"-14,026.50","-1,402.65",,
0x6f6e678b7f113110ea4b39fd524781ef10a0444f,fmkonuk,"38,000","34,200","-17,777.00","-13,977.00",,"-13,977.00","-1,397.70",,
0xeb9ee33cd0af9b5eab32f4d657e448b1f9af1c82,availablejatt,"49,200","44,280","-18,665.70","-13,745.70",,"-13,745.70","-1,374.57",,
0xfac18020a4f147439abc744a64be565fe800ae42,kingslayar,"15,000","13,500","-15,000.00","-13,500.00",,"-13,500.00","-1,350.00",,
0x714b45b5c1a123329afc6a76b10a86de8bd1cb60,Cryptony,"40,100","36,090","-17,447.90","-13,437.90",,"-13,437.90","-1,343.79",,
0x90fc7c4c84501989d9d39a55ce53e9b3b4dcfcb9,leonardobitcoin,"81,500","73,350","-21,544.70","-13,394.70",,"-13,394.70","-1,339.47",,
0xcaead7a458295cd78c76bc1404e75984643cfc21,thanh_tx,"20,000","18,000","-14,960.00","-12,960.00",,"-12,960.00","-1,296.00",,
0x0b7abcd0a947ee625a898642ebe24bcdb3a1848a,monsam0612,"39,000","35,100","-16,716.00","-12,816.00",,"-12,816.00","-1,281.60",,
0xc0ab912ea624a0e8c367e8eae5a5bb22675264b5,AdriansCrypto,"44,400","39,960","-17,202.90","-12,762.90",,"-12,762.90","-1,276.29",,
0x763a81e277a64a5819acee11464780398735c2f1,ppettrov,"57,800","52,020","-18,071.30","-12,291.30",,"-12,291.30","-1,229.13",,
0x5eb8c60a31cc1b5f52c6a6c8e013a07510af6203,QDrome,"90,500","81,450","-21,318.98","-12,268.98",,"-12,268.98","-1,226.90",,
0x8e1e8aa0ded409aa6ca3e37e76239e3e3ff70bdf,xavierrobitaille,"20,000","18,000","-14,240.00","-12,240.00",,"-12,240.00","-1,224.00",,
0x33dcab82c6a76ded41a9d8410341460372f31afe,janez_2,"40,700","36,630","-15,976.10","-11,906.10",,"-11,906.10","-1,190.61",,
0x13bd216ba130877c0176520606829f2e121a8d1d,iAmInItFoRtHeTeChNoLoGy,"20,000","18,000","-13,880.00","-11,880.00",,"-11,880.00","-1,188.00",,
0xe3c91331f00f8325c88bb814507e436e9a9ddea0,jptrojan04,"26,500","23,850","-13,639.00","-10,989.00",,"-10,989.00","-1,098.90",,
0x5cb656d7605d9924c085fc859585f3ff2f7ad08f,jonnyrandy21,"32,500","29,250","-14,027.50","-10,777.50",,"-10,777.50","-1,077.75",,
0xae8ded6542149309bc99c86926813669a419a3ce,leonid8711,"36,800","33,120","-14,207.30","-10,527.30",,"-10,527.30","-1,052.73",,
0xecb57b2c7bff9df7ced2859137f07373dbc9770e,Arfy0786,"22,700","20,430","-12,717.20","-10,447.20",,"-10,447.20","-1,044.72",,
0xa042b5cd74f3ffdb6caf3eeab6078a6245bda2ea,snabelis,"23,500","21,150","-12,760.30","-10,410.30",,"-10,410.30","-1,041.03",,
0x7018b9ab744cd438de14e9186de43698a29a7aaa,Chiz3042,"16,300","14,670","-12,010.60","-10,380.60",,"-10,380.60","-1,038.06",,
0x9c5c806f02cfdc1038594d7f389b1555acc17b07,Brogan02,"36,700","33,030","-13,824.70","-10,154.70",,"-10,154.70","-1,015.47",,
0xe601043c33d78eaebc8e27e0436e7a0d11efe1b0,Rejinderi,"19,200","17,280","-11,744.40","-9,824.40",,"-9,824.40",-982.44,,
0x80d26f22d29b542f72c0167d98d6402261ba4405,Elcrypto87,"18,000","16,200","-11,196.00","-9,396.00",,"-9,396.00",-939.60,,
jve83,jve83,"9,381","9,381","-9,380.55","-9,380.55",,"-9,380.55",-938.06,,
0x769422551c977a89e2b7f1f2438f1cd26cb5d0c4,CryptoKobra,"19,856","18,506","-10,527.04","-9,177.04",,"-9,177.04",-917.70,,
0xaef30cd75ea84a7006815c3c349e0f3d8d46ea82,adamtheblackman,"60,000","54,000","-15,000.00","-9,000.00",,"-9,000.00",-900.00,,
0x6550e8d294802c55c7bbe8d8f1d5774d1689abe7,HG_27000,"41,900","37,710","-13,149.28","-8,959.28",,"-8,959.28",-895.93,,
0xf5a72ef81ece04537051edcf0e32852f641768ce,kbg59,"43,800","39,420","-13,254.90","-8,874.90",,"-8,874.90",-887.49,,
0xa56aed951389ffce2d76dbefe059c42798ea3b48,DiemBD,"50,500","45,450","-13,897.00","-8,847.00",,"-8,847.00",-884.70,,
0xc8f9087d7f5fee7a8f95f76a2a7827401911ad55,linfreelove,"375,000","337,500","-46,275.00","-8,775.00",,"-8,775.00",-877.50,,
0x8aadad0294998fa59e7e4b8f18ccc7db3ff6b797,mata1ng,"22,400","20,160","-10,581.20","-8,341.20",,"-8,341.20",-834.12,,
0x65a320f8164d9ae128f9a041bda892653e9174ed,jamess127,"22,200","19,980","-9,843.90","-7,623.90",,"-7,623.90",-762.39,,
0x5d47e5d242a8f66a6286b0a2353868875f5d6068,Pandario_ETH,"30,500","27,520","-10,329.20","-7,349.20",,"-7,349.20",-734.92,,
0x039255900459494dfc2ca8710801e06c2c870097,Gembuyer,"9,000","8,100","-8,082.00","-7,182.00",,"-7,182.00",-718.20,,
0x067f0881d1cdd929d21bd0deba31c1842de2b690,buitien10235,"14,700","13,230","-8,608.80","-7,138.80",,"-7,138.80",-713.88,,
0xda1001ca55f0524688b7419201064ab7650defcd,batdoko,"72,800","65,520","-14,346.80","-7,066.80",,"-7,066.80",-706.68,,
0xa8aef25b5c20cb1dc64a6c5373d703291b6cb011,thorexxia,"14,800","13,320","-8,343.40","-6,863.40",,"-6,863.40",-686.34,,
0x279aaad5395fee6ad9769f34ad8eff8061c237a6,Mohd7861,"12,828","11,768","-7,915.80","-6,855.80",,"-6,855.80",-685.58,,
0xb298d8ecdb73aad00d6c86bd55822a3a9d3c3e93,srigopalbhattad,"32,400","29,160","-9,934.20","-6,694.20",,"-6,694.20",-669.42,,
0x87d5fc5516295e6ba4e30498da8b4e8aa1668297,sluchainiychelovek,"8,900","8,010","-7,578.80","-6,688.80",,"-6,688.80",-668.88,,
0xf00c2a6623681148b15dd06297aea63c34c548a5,Jokerviet,"9,650","8,410","-7,877.00","-6,637.00",,"-6,637.00",-663.70,,
0x9cf5f58a84a6a92ceaafefe2ba9a76c3ab013cdd,shinypants2000,"17,400","15,660","-8,091.30","-6,351.30",,"-6,351.30",-635.13,,
0x9a59e2fcd0fc7453df2e5805c68bdf1c756f76bc,SuperMarioOG,"33,800","30,420","-9,722.30","-6,342.30",,"-6,342.30",-634.23,,
0x348ec25acde3238ce6ce7c0705258d7e0702363b,catbasilio,"44,900","40,410","-10,734.20","-6,244.20",,"-6,244.20",-624.42,,
0xb19f860979e7545a93dda04e8ba4335d1e33594a,alxbauer,"21,600","19,440","-8,323.20","-6,163.20",,"-6,163.20",-616.32,,
0x59a7cfc9fb901890e0b9c80933270d8b97c13529,mexl21,"10,000","9,000","-7,120.00","-6,120.00",,"-6,120.00",-612.00,,
0x09509947596530082844c4ca6e6f0c47fb7c05f8,sagar_sl,"11,100","9,990","-6,990.60","-5,880.60",,"-5,880.60",-588.06,,
RaulisUC,RaulisUC,"12,700","12,192","-6,116.32","-5,608.32",,"-5,608.32",-560.83,,
0x71990c8eb878c6f262b1dceefa1d70ab7f2fa140,RogerCrypto,"13,500","12,555","-6,339.00","-5,394.00",,"-5,394.00",-539.40,,
0xe7b36aabaa497551e8bca12c65cff0ffa0d169f0,Markus2804,"10,000","9,000","-6,220.00","-5,220.00",,"-5,220.00",-522.00,,
0x9136a6b985140d40c2a435a665a02c8381aab72d,VS8007,"20,200","18,180","-7,212.10","-5,192.10",,"-5,192.10",-519.21,,
Salmaan,Salmaan,"156,200","140,580","-20,714.73","-5,094.73",,"-5,094.73",-509.47,,
0x892147b72b81e61567f27c0c52c03eb174b21a26,swan2510,"6,500","5,850","-5,660.30","-5,010.30",,"-5,010.30",-501.03,,
0xc6428de660cdc5b009f2d44a446faccffd7812d1,inav_1,"41,500","38,463","-8,022.94","-4,985.94",,"-4,985.94",-498.59,,
0x468d578a1a94034d013639e70b8ec3906b01f714,DrRight,"13,100","11,790","-6,218.60","-4,908.60",,"-4,908.60",-490.86,,
0x390e744386c84fdbbb9c3cb5a46bd4407319929d,Nikolay442,"17,100","15,390","-6,602.40","-4,892.40",,"-4,892.40",-489.24,,
0xd3b6fd963b6f1b9d2bdd934908c85f57cc7b4a0b,MDShakibR_Nisstobdho,"17,100","15,390","-6,598.80","-4,888.80",,"-4,888.80",-488.88,,
0x4c9d4a1e35121ff9cf25bf6c3c91e034b2f46c1a,rubiconbenji,"7,500","6,750","-5,610.00","-4,860.00",,"-4,860.00",-486.00,,
0x9242f0864ff829a6c1598d7ab2f87ac22ca73754,nigelhow,"31,600","28,557","-7,710.40","-4,667.40",,"-4,667.40",-466.74,,
0x17ad8b3ab282cee382e155d56ce6d2ce0470292f,Stoicfrend,"12,100","10,890","-5,674.90","-4,464.90",,"-4,464.90",-446.49,,
0xd8f0262589ad086147784e9ae1d486a1292df535,KeepSmiling69,"9,500","8,550","-5,409.50","-4,459.50",,"-4,459.50",-445.95,,
0xe1d56da1a0e55938a0d55247dc4ce0edd15a8ac4,Guilhermeparisotto,"10,900","9,810","-5,491.00","-4,401.00",,"-4,401.00",-440.10,,
0xe83d8fd3ab8028105d397f242b655d783de27ca5,crypto_goos,"6,000","5,400","-4,961.40","-4,361.40",,"-4,361.40",-436.14,,
0x9758a81c01d9f67fc321811a4d3f6fbc8bc3366a,Twanniej,"37,000","33,300","-8,002.00","-4,302.00",,"-4,302.00",-430.20,,
0xada00bb713605da9c12ea006927e6b235c237e74,DW_Yo_Man,"5,800","5,220","-4,870.30","-4,290.30",,"-4,290.30",-429.03,,
0x77fcc17608eb06ffa8c6fc4e80ddae8c034270a4,Monselll,"20,100","18,090","-6,284.10","-4,274.10",,"-4,274.10",-427.41,,
0x0f8975b5a1b107f58e5f4988fa80fa8c9e8d09c5,radoudou,"26,283","24,273","-5,972.20","-3,962.20",,"-3,962.20",-396.22,,
0x11c3744e33e9076e9afe7c579ae124a4d7446f90,cfircoo,"18,900","17,010","-5,830.92","-3,940.92",,"-3,940.92",-394.09,,
0x199bded7d6ea0ec6f949abd21128e6f4d82c51c0,Casper3248,"15,900","14,310","-5,393.40","-3,803.40",,"-3,803.40",-380.34,,
0x2c833c363f75e3f24db9caed0c92157e73458b2d,Mynameishero41,"9,000","8,100","-4,374.00","-3,474.00",,"-3,474.00",-347.40,,
0x2db6e56c499278c309ff9d4bdc813638288170f1,leshagur,"9,700","8,730","-4,211.80","-3,241.80",,"-3,241.80",-324.18,,
0xf534ecafa3d1ea72ad39742d2dd36247871be365,express_p2p,"5,200","4,680","-3,704.20","-3,184.20",,"-3,184.20",-318.42,,
0x513b716f9cd5ea4b1c98892f9e6cb0aab64014d1,avinashtr,"11,400","10,260","-4,279.20","-3,139.20",,"-3,139.20",-313.92,,
0x4365dc447b52f33783fe95a4e71728fda7fd0419,tgeorge33,"5,000","4,500","-3,560.00","-3,060.00",,"-3,060.00",-306.00,,
0xc8babb84ce41389d8a07e5dda8f59c2b64a3689b,yagyeshjaiswal,"5,000","4,500","-3,560.00","-3,060.00",,"-3,060.00",-306.00,,
0xe36e4498696667b4aac9b42099bb2cbafc34836f,JoeyBryant,"5,000","4,500","-3,506.00","-3,006.00",,"-3,006.00",-300.60,,
0xa73dc7e307898429df8b46aabddb09a72d769e31,Ashokkumar18,"6,400","5,760","-3,637.32","-2,997.32",,"-2,997.32",-299.73,,
